SKU,Stock,"Length (cm)","Width (cm)","Height (cm)","Regular price",Tags
558,0,6.8,2.3,2.3,19.95,"relax\, woman"
559,3,2.8,5.2,9,29.8,"self care\, woman"
560,3,16,3.5,3.5,33.6,"self care\, woman"
561,0,16,21.4,0.2,25,"woman\, self care"
562,,1.5,1.5,16,6.3,tea
563,6,8.3,11.3,6.2,39,"general\, woman"
564,3,15,5.5,5.5,39,relax
565,20,8,5,5,21,"self care"
566,0,3.5,3.5,8,28,relax
567,7,8.5,7,7,22.95,relax
568,3,6.8,5.8,4,13,general
569,1,12.5,8,5,36.75,"self care\, woman"
570,0,8,6,6,18.9,"relax\, woman"
571,3,6.2,5,5,33.25,relax
572,5,9,6,6,5.25,sweet
573,7,14.5,5.5,1.8,45,"self care\, woman"
574,1,8,5,5,36.75,general
575,2,8.8,4.8,2.8,26.25,"self care"
576,,9,6,0.8,10.5,general
577,3,20.5,20,6,126,music
579,4,22.8,14.8,3,45,"ground coffee"
580,7,11,13.7,19,52.5,"ground coffee"
581,1,8,10,1.05,21,"ground coffee"
582,15,3.8,2.5,17.7,31.5,"ground coffee"
583,77,4.4,4.4,11.5,9.45,sweet
584,0,4.8,4.8,16.9,36.75,wine
585,4,4.8,4.8,16.9,36.75,wine
586,3,12.3,16.5,4.2,12.6,savoury
587,0,9,5,5,18.85,wine
588,1,18.5,6.4,5.8,21,wine
589,0,13.4,9.2,2.5,29.4,"hard liqour"
590,5,2.5,2.7,11,39,"hard liqour"
591,0,3.4,1.8,8.8,57.75,"hard liqour"
592,5,4,1,11,30.45,"hard liqour"
593,6,7,7,8,28,"hard liqour"
594,1,5.5,5.5,20.5,96,wine
595,3,16,11,3.5,30.45,relax
596,5,5.5,5.5,14.8,15.75,"savoury, sweet"
597,2,5.7,5.7,7.5,12.6,"eat clean"
598,1,12,8,10,68.25,"hard liqour"
599,0,2.5,24.5,20,29.4,"hard liqour\, book"
600,0,4.2,4.2,10.3,45,"hard liqour"
601,0,5,5,16.5,9.75,
602,,5.7,5.7,7.5,12.6,"savoury\, sweet"
603,10,3,3,1.5,6.3,relax
604,23,11.5,18.2,1.5,51.45,relax
605,6,14,12,5.5,98,book
606,,5.7,5.7,7.5,12.6,"savoury\, sweet"
607,2,20,25,3,84,book
609,4,6.5,6.5,19,68.45,general
610,0,7,7,23.8,61.95,general
611,3,6,6,8,63,"relax\, woman"
612,'-1,5.5,0.2,8,82.95,man
613,30,4,4,6,31.5,man
614,0,5,2.5,6.5,21,man
615,5,4.2,3,8,51.45,
616,0,6,6,6.5,47.25,relax
617,1,4,4,12,33.6,
618,3,15,21,2,51.45,general
619,3,24.2,11.8,7.5,51.45,general
621,606,10,9.6,0.8,5.25,general
622,5,11.5,9.5,7.5,47.25,general
623,6,15.5,9.5,3,8.4,general
624,1,25,22,1.5,26.25,"cooking\, book"
625,2,6.4,6.4,7.5,26.25,cooking
626,1,4.5,4.5,21.9,52.5,cooking
627,5,4.9,4.9,17.2,36.75,wine
628,2,2.4,9,35,30.45,cooking
629,3,58,0.5,71.5,40.95,cooking
630,0,5.9,6,11,21,gardening
631,0,8,8,15.8,15.75,gardening
632,,7.2,6.8,8,18.9,workout
633,9,14,12,5.5,98,workout
634,2,3,0.8,22.5,70.95,workout
635,2,16.9,7,1,12.6,workout
636,0,7,7,11.5,51.45,workout
637,0,3,1.5,4.5,15.75,travel
638,3,6.5,6.5,16.8,18.9,travel
639,29,1.5,0.5,14.5,39.9,general
640,1,10.6,6.5,1.1,29.4,travel
642,9,14,12,5.5,98,
643,3,8,6,9,47.25,"relax\, woman"
644,0,7.5,4.5,2.5,21,"relax\, woman"
645,6,7,7,16,40.95,woman
646,1,9,9,3,195,woman
648,0,4.5,3.5,14,26.25,"woman\, self care"
650,3,7,4.5,7,36.75,"woman\, self care"
651,5,25.5,13,8,157.5,general
652,7,4.5,3.5,16,10.5,tea
653,0,19.5,8,3,51.45,
654,5,24,17.5,3,61.95,
655,3,10,10,1,18.9,
656,0,15,8,0.5,26.25,
968,0,9,9,3,259,woman
15941,1,5.5,8.5,0.9,59.00,man
16044,,,,,34.90,relax
16046,,,,,34.90,relax
16048,0,8.5,7,7,29.60,relax
16151,31,10,7.5,3,125,man
16152,,8,6.5,2,25,
16153,,10,10,4,45,
16154,1,8.5,8.5,3.5,55,"self care\, woman"
16155,0,6,6,11.3,33.25,relax
16211,6,7,7,23.8,61.95,general
16214,1,19.5,8,3,51.45,
16215,3,15,8,0.5,26.25,
16228,0,4.8,4.8,16.9,36.75,wine
16356,3,7,10,6,10,"sweet\, savoury"
16358,3,10,6,17.5,36.75,wine
16609,0,4,4,8.5,69,"hard liqour"
16612,6,12,18.5,3,42,"hard liqour\, book"
16632,2,5.5,5.5,9.5,80,"hard liqour"
16634,3,13,8,22,71.9,
16635,4,13,1,16,58,
16636,1,18,6,5,12,
16641,6,11,15.5,3.5,53.90,
16669,3,8,5,5,48,general
16671,11,14,21.5,1,30,general
16772,4,16,3.5,3.5,33.6,"self care\, woman"
16774,3,9,9,3,259,woman
16815,1,7.5,4.5,2.5,18,"self care"
17069,0,4,9,13.5,16.90,tea
17092,3,5,5,7,9.45,sweet
17247,1,6,1.5,1.5,20,"self care\, woman"
17261,5,15.5,12,,25,"self care\, woman"
17266,4,6,6,7,40,birthday
17269,3,5.5,5.5,7,39,"self care\, woman"
17271,0,6,6,19,15,
17298,5,29,19,2,59.00,travel
17301,0,8,5.5,5.5,22,relax
17306,3,4,4,19.7,49,relax
17331,3,4,9,13.5,16.90,tea
17411,9,24,13.5,3.5,29,workout
17570,5,9,9,16,25,gardening
17572,10,20,4,1.5,8,gardening
17574,2,18,8,1.5,19,gardening
17577,5,10,5,1,10,gardening
17579,2,8,8,7,25,gardening
17727,0,5,5,16.5,9.75,
17881,2,5,5,1,30,
17882,2,21,19,11,50,
17886,2,23.5,10,6.5,40,
18008,2,23.5,12,5,40,
18009,3,15,15,1.5,30,
18051,,12,12,12,78,"christmas gift, christmas tree, cute, friend, mug set"
18118,10,3,3,11,49,"hard liqour"
18968,4,5.5,5.5,5,26.5,relax
18973,2,9.8,9.6,1,45,general
18976,6,5,5,5,29,relax
18990,5,5.5,5.5,5,38.50,"self care\, woman"
18995,3,5.5,5.5,7,35,relax
18998,5,4,3.5,9.5,37.5,relax
19003,1,7.5,5.5,3.2,30,relax
19052,7,20.5,1.5,10.5,25,relax
19121,6,3.5,3.5,8,23.5,"relax\, woman"
19126,0,3,3,11,10,gardening
19128,0,25,11,6,21.8,gardening
19130,0,22,10,6,29.8,gardening
19133,0,22,10,6,12,gardening
19135,1,10.5,7.5,7.5,45,cooking
19139,1,10.5,7.5,7.5,12,cooking
19142,1,10.5,7.5,7.5,21,cooking
19144,0,8,5,5,20,"cooking\, self care"
19146,0,5.5,5.5,14.8,20,"cooking\, self care"
19148,1,25.5,13,8,8,general
19150,1,25.5,13,8,12,general
19467,2,16,11,16,105,"cooking, general"
19469,2,16,19.5,2,20,"general, hard liquor, wine"
19470,2,11,4,1.5,15,"man, self care"
19471,2,29,9.2,,20,general
19472,1,11.5,8,4.6,25,"general, man"
19473,2,26.5,12,10,29,"general, man"
19474,2,6,8,8,55,"general, music, relax"
19475,2,33,10.5,,20,"general, man"
19479,2,10,10,10,25,"savoury, sweet"
19547,1,22.8,14.8,3,45,"ground coffee"
19561,1,11.5,13.5,5.5,52,general
19562,1,15,8,15,38,"ground coffee"
